augustin augustina
charlotte lottie
anne annette
hans juana
marianna marion
pedro petri
jans joanne
pedro peter
hedvig hedwig
micaela michaelis
gerardo jerry
geneva jin
antonia antonino
jozsef jph
august augusta
antonino antonius
jone juana
anto antoine
antonia antonio
mae maja
rosanna ross
josef josse
george jorge
friedrike fritz
kristian kristine
marg margarida
federico frederick
felipe philipp
jannetje jean
susanne susie
ellen nellie
pauline paulus
rosa rosie
mathias mats
luciana lucie
cornelia niels
rosine rozalia
andres andrew
fred frederic
katarina kathrine
cathrina kate
frieda friedrich
allan elin
marta mattie
cipriana cipriano
maggie margit
margaret margueritte
florentina florentino
betsy lizzie
heinrich henricus
josephi jph
margarete margaretha
gottlieb gottlob
harry hendrik
john juana
thomae tom
hans joanes
da david
heinrich henrietta
henrietta hinrich
juan june
lucille lulu
catharina kathryn
giovanni johan
alexr sandor
janos jone
ramona raymond
luisa luise
francisco francois
cecil celia
kerstin kirsten
eli elias
felipe philippina
jonathan juanita
ross roza
florencia florentino
lars lorenza
catalina katharine
petter pietro
ysidora ysidra
francisca francois
margrethe margueritte
amalia emilie
margaretha margarita
maddalena magdeleine
theodora theodorus
margarete margret
fred friedrike
cath catherine
jens joana
guillermo wilhelm
michel migl
patricio patrick
lena madalena
michaela mike
emil emilie
ambrocio ambrose
rose rosina
will willis
margaretha marguerite
hendrik henr
maren mariah
catarina kata
louise luisa
cecelia cecilia
angelina angeline
claus nicola
johanne john
gertrude getrudis
georgia gyorgy
eric erich
modesta modesto
catharina catherina
christ stina
frederik friederica
elisa elizabetha
kirsten kristina
delrosario rose
bettie elizth
ferentz franklin
laurentius lorensa
gustaf gustave
jans joannes
catherina kathleen
frances franco
marian mariano
margrete peggy
cathrine katarina
catherine katherine
lee lena
hanss jo
eddie edouard
johannis john
gerhard jerome
catherine cathrina
alan helene
august augusto
josephina josephus
alan elena
elisab elisabet
grietje margarida
albertus berthe
eszter hester
joanna johannes
janos juanita
jasper kaspar
jozef jph
jose josef
thomasa tomas
jozef jozsef
eddie edward
mathias matthew
da daisy
elisabethae lisa
fred friederich
rosalia rosaria
giovanna hanss
christianus kristina
cecelia cecile
maren marie
ferenc franziska
margarethe margery
betty elsie
joann johannis
rosanna rozalia
jane jenny
stephanus stephen
marianne marinus
lucie lucinda
alberta albertine
amalie amelia
matheo matthaeus
arthur arturo
hanss jonathan
joann juana
mary polly
maria miriam
luciano lucille
henric henrich
joannis johan
lucie lucille
joanna johann
sadie sarah
ludwig luigi
auguste augustin
genevieve genoveva
joannis john
hanss juana
jack joannis
klaas nicolai
teresa theresia
luis luz
juana juanita
henrik henry
mamie mar
ella helene
carl carlos
frederick fritz
gene jenny
lucia luciano
margery margrethe
ines inez
heinrich henric
gerrit gertrude
margaret margery
margaret margarita
cecelia cecil
anto anton
joannes johann
pedro pierre
janos joanne
esteban steven
frederic frederik
hendrik henrich
ferentz fransisco
marg margaret
friderich friederich
marguerite peggy
beata beatriz
susana suzanne
juan juana
bill guillermo
hanss joannes
gregoria gregory
francesca francisca
antonina antonino
ilsabein lisa
anita annae
prudence prudencio
josefa josie
johan johanna
catharinae catharine
margarett peggy
cath cathrine
matthaeus matts
harry henrik
giovanni joannes
bessie elizth
mamie marie
giovanni hanss
juliana juliane
gene jin
simeon simon
will willard
wilhelmus willem
michaela michel
joannis johanne
christine kirsten
franklin fransisca
gerrit gertrudes
josephus joze
pablo paulus
hilaria ylario
esther eszter
johan juan
jo joane
josefina jozsef
alejandra alexandre
luiz luiza
lars lorensa
catharine kathrine
jack jans
margarethe marguerite
elsie lisa
henric henrici
henri hinrich
emile emilia
elisabeth elsbeth
lucio lulu
joann joh
terezia theresa
katalin kathryn
cathrine katharine
maria polly
anna nancy
jans jonathan
giovanni joannis
liu louise
cathalina catherina
andre andrew
sofia sofie
johann juan
jose jozsef
angelica angelina
greta margret
francois francoise
lucinda lulu
stephanus steven
amalie emil
katalin kate
daisy grietje
elizabeth lisa
allan lena
grietje margarett
elizth elsbeth
joann joao
marg margarethae
catalina katherine
julian juliane
elsbeth lizzie
an annam
mateo matthaeus
francis franziska
joane jonathan
joana johann
mario mollie
marta marthe
clemente clementina
fredrick friederike
margery margit
hendrik henri
theresa thereza
will willem
katherine katie
petra petter
victoire viktoria
margarida margreta
antoinette anton
delrosario rosine
cayetano gaetano
ignatius ygnacio
julian julio
luciana lulu
elizabeth lizzie
larry lorenza
dale dela
christiane kirstine
rosetta rosina
vincenza visente
frans fransisca
gaspar kaspar
francisci franco
antoni anttonio
alexis alexr
paolo paulo
ferentz francois
felipa philip
matheo matias
bessie betsy
josefa josepha
nicolas nicolaza
ferdinand fernando
ola olof
steph stephanus
ramon ramona
joes josephi
grietje margarito
betsey eliza
ines ynes
luis lula
francisci francois
francisco francoise
ferenc franklin
daisy margreta
steph stephani
anthony antoinette
christianus kristine
giuseppa josie
jeanne joanne
rosalia rosalie
josefa josephi
joe joel
philipp philippus
hendrik henrici
florence florentina
adelaide adelheid
ferentz franz
jo joao
lou lula
leonarda leonhard
lajos liu
mathew matthias
frederic fredrick
margareta margarete
bettie betty
elizabetha elsie
johanna jonathan
larry lorenzo
juliane julio
christian stina
lin lina
antoinette anttonio
pablo paolo
agapita agapito
amalie emilia
michel miguel
cathar catharine
frederik friederike
karolina karoline
francois franziska
joaquim joaquin
daisy margueritte
lu lucinda
lois louis
frederik friederich
elisabetta elizabeth
joh johannis
lucia lucille
fredrik friderich
josephus josie
isabell ysavel
lois louise
madalena maddalena
franca francesca
giovanna jack
anastacia anastasia
juliane julien
leandro leo
carl charley
elisabeth elisabetta
catharine katharina
jens johanne
christiane kirsten
bernarda bernardino
josef joze
will william
christ kirsten
dorothea dorothy
jan joane
jane jannetje
fran frances
margret margreta
emeline emilio
alexandra alexis
joana joane
henric henriette
joane joannis
wilhelmus william
christina cristina
maggie margreta
rosaria ross
fran francis
pieter pietro
alan lena
pal paulino
jane jean
jan jo
emily millie
domingo dominique
henric henrietta
elisabet elsie
guillaume wilhelmus
joana johan
cornelis niels
ferentz francisca
alejandro alexander
giovanni joana
georg jorgen
elisa elisabet
margarethae margarida
antoni antto
bernard bernarda
juliana julie
saturnina saturnino
louis luise
joanes joao
albertine bert
guillermo willm
ysidora ysidro
billy willie
mari mariah
elisabethae elsbeth
joe josephe
jannetje nettie
dorthe dorthea
angela angelique
victoire victoriana
johanna johanne
dorotea dorthe
patricia patrick
cecilia celia
lou louis
margarett margarida
cecelia celia
marianna marianne
franca francois
jans joana
joachim joaquim
helena helene
jonathan jons
cathalina kathleen
antoine anttonio
mina wilhelmina
lucie lulu
ella ilona
giovanna joanna
emanuel manuel
petri pierre
gyorgy jorgen
margarett margrethe
hendrik henric
micaela michel
katharine katie
marcelina marcelino
anthony antonius
henrici henry
madeline magdalena
matias mats
hans jonathan
fredrik friedrike
mateo matias
lisa lizzie
teresa theresa
wilhelm willem
francisco franz
maria mariana
cath catharina
katalin katarina
geronimo jeremiah
margarita margit
julianna julio
mathew matyas
casparus kaspar
joze jozsef
jens juana
francesca frans
gabriel gabriela
agustin augustin
fredrick friederica
eduardo edvard
barbarae barbe
joann joanne
greta margrete
peder pedro
laurentius lorenzo
allan helena
pehr pierre
christina christine
christen kirsten
carol karoly
henriette henry
ramon raymond
joes joze
diana dinah
jans joh
madeline magdeleine
mats matthaeus
lucile lucio
baltasar balthasar
mamie maren
janos johannes
cathalina kathryn
jo joanes
georges georgia
jens joh
enrique henric
giovanna joao
ferencz ferentz
cath catherina
joseph jozsef
joao joh
christian kristine
allen nellie
allen elena
de dean
josephine joze
margarethae margarethe
cath katarina
nicolasa nicolaus
georg georgia
susannah suzanne
nicolaus nicolaza
antal anthony
peder petrus
heinrich henri
dennis dionisio
je jean
joanna joe
jens joan
margaret margarete
mariana marion
jo joe
hanss john
amelia emily
juliane julie
johanna johannes
emilie millie
christian christiane
belle isobel
jacobi jacques
august augustina
betsey elizabetha
christen christianus
henr henrietta
peder petri
larry lawrence
mariam mollie
rosa rosetta
rosalie rosie
margaret marjorie
estevan stephen
giovanni juanita
wilhelmus willis
philippe philippina
elena nellie
bessie lisa
friderich friederike
giovanni jo
elen elena
maria marie
margreta margrethe
petri petrus
allan elen
johann johanna
johanna juan
francisca franziska
margery peggy
maggie margrete
klaas nicholas
alan elaine
franco fransisco
maria mario
catharinae katarina
flora florencio
joann johanna
salome salomon
giovanna johanne
jack joana
margareta margreta
elis elisa
sophia sophie
ludovicus luigi
louisa lula
greta margarito
willie willis
ira irene
wilhelm wilhelmine
margret margrete
emilio millie
mercedes mercy
wilhelmus will
cathalina katharina
belle isabella
cornelius niels
betty elisa
liu lou
katharina kathleen
joane joanes
hanss johannis
henric henry
michaela miguel
betty ilsabein
peter petrus
bettie elsie
etienne steph
fredrik friederich
pablo paul
max maxine
giovanna joanne
per pietro
josef jph
carolina kari
carl charles
annae nancy
casper gaspar
justa justo
johanna juanita
wilhelm willie
louis luis
dorothea dorthea
apolonia apolonio
fred frederick
teresia terez
bessie elsie
luiz luz
joe josephine
joane johanne
lena maddalena
robert roberta
bernardo bernardus
elisabeth elisabethae
petrus petter
norma norman
georgina jorgen
joanes jone
lucia lucinda
narcisa narciso
christian christiana
margarida margarito
rosina ross
justine justo
thomas tomasa
federico frederik
madeleine magdeleine
betty elisabeth
lou louisa
grietje margaretha
albert elbert
magdalenae magdeleine
billy vilhelm
theodor theodore
jo joannes
julia juliana
catherina kate
elisabetta elizabetha
cruz delacrus
antonino anttonio
luciano lucy
albert bert
georges jorgen
josephe jozef
roza rozalia
baptista bautista
joe josephina
catarina cathrina
joh juana
lovisa luis
ane annae
emil emily
anita anna
luciano lucinda
lewis luiza
su zsuzsanna
jens juan
joseph josie
angeline angelique
marcelino marcial
mamie marit
rosa rosine
an antje
bernardino bernardo
antje nancy
janet nettie
margarito peggy
elisabet lizzie
ernest ernesto
greta margarete
giovanni jonathan
jennie nettie
jack joh
kata kathryn
jane nettie
josepha josie
andras andre
jules julius
stephani steven
pal paul
sibilla sybilla
betty elise
angelina engel
alan ilona
eliza ilsabein
berta berthe
charley charlie
eddie eduardo
elisa elsbeth
joanna johanna
ana annie
maren mariam
hanss johan
christen stina
betty elizth
thomae thomasa
johann johanne
henricus henriette
betty lisa
esteban stephani
antonius anttonio
francisca franco
franco fransisca
betsy elisabeth
elen ella
harry henric
amy annie
victor viktoria
terezia thereza
joann johan
mads mathias
madalena magdeleine
nicolaas nicolaus
lou lovisa
neil niels
josephi jozsef
joane joann
christine kerstin
christina kirstine
henr henrik
ludovicus ludwig
joao johannis
cathalina katherine
bessie elisabetha
katarina kathryn
jose josefa
willem willis
alejo elijah
kate katherine
lars laurence
bernarda bernardina
catharinae kate
mamie mariae
friederich friedrike
jonas jones
rene renee
rosie ross
larry lorenso
francisca francisci
luis luisa
alicia ellis
jack joanes
denis dionicia
emilia emilie
henriette henrik
lucia lucie
elisabeth ilsabein
eugenia eugenio
feliciana felicitas
frances fransisca
betsy ilsabein
ed edvard
martinus marton
lois lou
angela angeline
antoni antonia
michel mike
friederike fritz
mamie maria
eugene eugenia
jonathan juan
margarita margueritte
victoire victoriano
betty elizabetha
francesca francesco
luciano lucie
nicolai nicolas
jack juanita
lou luisa
ben bengt
alfonso alonzo
janet jean
jules julian
manl manuela
anna annette
janet jenny
angelique engel
francois franz
antoine antonino
stephan steven
madeleine madeline
mar marit
francisca francoise
dennis dionicio
del della
marthe mattie
antal antonius
dionisia dionisio
mats matthew
ann nancy
julian julius
jesse jessie
claire klara
claus nikolaus
susan susanne
wilhelm willm
ambrose ambrosio
amanda amy
alexandra sandor
ernest ernst
margit marjorie
luciana lucy
anita antje
julianna julie
jose jph
domenica domingo
joanes johanna
cath kata
albina albino
maren mary
georgy jorge
josef josephi
henri henrici
elisabet ilsabein
franco francoise
martha marthe
joan joanne
thomasa tom
do don
isabella ysavel
lorenza lorenzo
catalina catharinae
therese thereza
fredrik friederica
lucinda lucio
hans johanna
joana joanes
joannes johanne
margrete margretha
gabor gabriela
mar marina
peter pieter
liu louisa
philip philipp
harry henri
eugenie eugenio
janos johanne
matias matts
alan elin
peter pierre
augusta augustine
francoise frank
franklin frans
alfonso alphonse
marten martina
beata beatrice
hanss joannis
joane johan
john jonathan
carlos carolus
joannes johan
bernarda bernhard
isidro ysidora
rosanna rosine
per petter
secundina segundo
anto antonina
dennis dionisia
su susanne
carol karolina
hendrik hendrika
alex alexandre
joannes jonathan
lovisa luisa
eduard eduardo
jack joann
jan joann
giovanni hans
margarethae margarett
luisa luiz
albertina berta
fredrick friderich
ilona nellie
miriam mollie
matheo matthias
francois fransisca
antoinette antonius
elsbeth lisa
adrian adrianus
lucy lulu
giovanna joann
jeanne jennie
josephi joze
feliciano felicitas
joannis jonathan
claudia claudio
francisco franciscus
peder pieter
pasqual pasquala
joes josepha
luise luz
sue zsuzsanna
hans joanna
greta margueritte
francis frans
harry heinrich
allen hellen
rose rosetta
franca fransisco
juli julie
katarina katie
joanna joannes
christiane christine
billy guillermo
alex alexandra
anthony anton
isabell isabelle
giovanna joan
nicholas nicolai
jeanne nettie
elen helene
mauricia mauricio
margarete margit
marcelino marcelo
ferenc francisco
kristina kristine
joane jone
philip philippus
kata katherine
amalia emily
gene geneva
frances fransisco
jules juliane
nathan nathaniel
antonie antonio
paula paulina
hilaria ylaria
emeline emilie
ana anita
christian kirsten
jacob jacques
maren mariae
christ christine
micaela miguel
joseph joze
jan janos
amalia millie
vilhelm will
michele migl
antoni antonius
margarethe margretha
harriet hattie
estelle stella
magdalene magdeleine
baptista battista
francisco franklin
catarina katalin
catharinae katharine
josef josephe
franciscus francois
lena magdalene
catharinae kathryn
kirsten kirstine
josepha joze
catharina kathrine
frederick frederik
joanne johanne
ferentz frances
antto anttonio
jack joanne
adriana adrianus
barbara barbe
felipa phillip
joane joao
pierre pietro
hans johan
mathilde matilde
giovanni johann
hanss joanne
philippina philippus
ferentz fran
raimundo ramona
katharina katherine
edvard edward
joanes jonathan
margarethe margreta
frank franz
enrique henr
gertrude gertrudes
jans johannis
francisci frans
joane juan
carolyn kari
lou luz
katarina kathleen
carolyn karolina
jane jeanne
josie jozef
angelo engel
joan johannes
dorotea dorothea
prudencia prudencio
carrie kari
christina kerstin
allan elaine
giovanni johanna
carlo charlie
margarida margretha
margaretha margreta
jack joane
jones jons
rosanna rosaria
gerrit getrudis
elisabet elisabetta
elizth lisa
rafael rafaela
joanes joanne
josef josephine
justina justo
francesca franciscus
frans franziska
jacques jakob
josef josie
geertruida gertrudis
lena leona
bernard bernardus
margarethae marguerite
per pieter
dorothee dorothy
nicola nicolai
lena lina
dorothea dorthe
margareta margueritte
sofie zsofia
etienne stephanus
anto antoni
ellen helene
marg margreta
marcela marcelo
lewis louise
fermin fermina
katherine kathleen
mari marit
joan juana
christ christiane
cornelis cornelius
jan jone
gerrit gertrudis
an anne
alberta albertina
madalena magdalenae
jeanne joannes
lin lino
antonio antto
emile emilio
eli elisha
ferentz frank
juli julius
josephe jph
mathilde matilda
ferdinand fernanda
terez tereza
rosa ross
greta grietje
giuseppa josef
peder pere
francis fransisco
catarina katherine
johanne johannes
thomas tomas
mateo mathias
istvan stephani
eleonora eleonore
caterina kate
julia julianna
rosa rosalia
betsey elizth
gene jennie
bert elbert
andreas andrew
joann jonathan
caisa cajsa
elisabethae lizzie
janos joannis
josefa josephe
miguel mike
rosa rosario
kathleen kathrine
valentin valentina
mari mariae
paulo paulus
elisabetha lizzie
catarina kathleen
sally sarah
francisci franziska
josie jph
mads matts
olof oluf
olive ollie
catharina catherine
luciana lucille
carlota charlotta
jules juliana
jens joann
alejandro alexandre
mathias matias
pehr petter
maggie marjorie
joanne johannes
laurent laurentius
elisabetha elizabeth
isabella ysabel
martin martina
stephan stephanus
josefina josie
lajos luis
ignacio ygnacia
rosario roza
elias elisha
fran francisca
mich michel
eugenia eugenie
nicolai nicolaza
joanne john
joann johann
elin hellen
elise ilsabein
fred fredrick
giovanni joanna
henri henriette
jean jeanette
rosanna rosario
francesco francisca
jack jo
joaquin jochim
helena ilona
margareta margret
caterina kata
susana susie
sallie sara
antonie antto
elisabethae elsie
christ christiana
cornelius nils
joseph josephine
helene hellen
florencia florentina
hendrik henrietta
joes jozsef
jack joao
giuseppa giuseppe
francisca franz
elsa else
greta peggy
casparus gaspar
alicia elis
lu lucio
margrethe marguerite
therese theresia
ludwig luigia
mathilda matilde
harriett hattie
louis louisa
agustina august
janos joanes
mari marie
susanna susie
klaas nicolas
mads mathew
greta margarethe
felipa felipe
cornelia nils
friederike friedrich
annam antje
francesca franziska
belle ysabel
johanne juan
amelia amy
angelica angeline
hanss joanna
julian julien
teresia theresia
lois luiz
guillermo vilhelm
lou luise
jean jeanne
felipa philippe
lajos lovisa
carol karoline
elise eliza
guillaume willem
louise luz
don donald
fred fritz
carol carolyn
helene nellie
eugene eugenie
bell isabel
dorothee dorthea
giovanni joanes
doroteo dorothee
kari karin
joanne johan
luiza lula
karoline karoly
michaela michele
rufino rufus
caterina catherine
joana johanna
bill will
christiana christianus
albertine berthe
enrique henrietta
philip philippina
christine stina
antal antoinette
fran fransisca
felis feliz
dionicia dionicio
friederica friederike
christiane kristina
manuel manuela
ed eduardo
vincent vincenzo
mariana marianna
domingos dominique
margretha margrethe
rosalie rosina
susan susana
lois luiza
cornelia neil
katharina katharine
joe joes
felipe phelipa
francesca francis
luisa lula
gerald gerardus
katharina kathryn
fransisca fransisco
pablo paulino
guillermo wilhelmus
henr henri
phelipe philip
katarina katharine
frances francesco
catherina katalin
terezia therese
giovanni joan
catharina kathleen
josephe joze
teodora theodor
ignacia ygnacio
marg margit
margretha margueritte
margarete margarito
giovanna joh
sue suzanne
jacoba jacobus
elisa lizzie
emeline emilia
lois louisa
frederik friderich
marg margarete
ane anne
joannes johannes
antoinette antonia
bernard bernardina
elisabeth elizth
margarete margery
paolo polonia
paul paulino
allan ellen
joanna juan
christen kristian
jo johannes
giovanna joane
jack jackson
justa justina
christen christine
genoveva jennie
santo santos
betty elizabeth
christianus christina
justina justine
julie julien
phelipe philipp
berta bertha
franco frank
antonie anttonio
joes josephine
rosalia rosina
agustin agustina
marie miriam
anthony antonina
liu luisa
antoine antonius
catherina katarina
angeline angelo
elisabet elise
luciano lucile
josefina jph
margit margret
lewis luis
margaretha marjorie
wilhelm wilhelmus
joze jozef
leonard leonhard
jans joan
jonathan juana
alejandra alex
francisca fransisco
guillaume willie
anton antto
maggie margaretha
agustin augusta
genevieve jenny
emanuel manuela
hanss joana
margarete marguerite
caroline karoly
catharina kata
mamie mari
federico fritz
mathew mathias
henrici henrietta
pere pieter
joan johannis
rosa rosina
pal polonia
mathew matthaeus
frans franz
michael migl
cecile cecilia
greta marjorie
marian mariana
elen ilona
justa justine
josephi josephina
vicente vincenzo
margareta margretha
maurice mauricio
lena lino
josefina josepha
emeline emil
giovanna juana
wilhelmus willm
rosa rosanna
margaretha margarida
caterina catharina
lina lynn
annam annette
helene ilona
giuseppa joseph
mamie mollie
joanne jonathan
betsy elisabet
per petrus
joan joannis
lars lawrence
betsy elsie
rosa rozalia
rosina roza
margarita margreta
ella hellen
harry henricus
micaela mich
mariano marion
josefa josse
cathrina katalin
giovanni juana
josefina josephe
joes joyce
joes jph
lou luis
antal antonina
martin martinus
betsy elisabetha
rosalie rosine
estevan stephan
christine cristina
henrietta henry
simon simona
bernard bernardo
caterina catherina
georgia jorge
maria mollie
hanss johann
caterina kathleen
stephani stephanus
joannis johann
klaas nicolaza
cirilo cyril
joan jone
johanna john
maggie margarete
josephe josephine
catharine katarina
joes jose
henrich henry
pere peter
frederic fredrik
friderich fritz
catarina cath
jo jonathan
henrietta henrik
katherine kathrine
hanss johanne
catalina katharina
albertine bertha
giuseppa josefa
catharinae kathleen
pascuala pasqual
johan john
delrosario rosalie
rose rosie
pablo paulo
federico fred
josefa jozsef
margarethae peggy
bessie lizzie
giuseppa josephi
giovanni john
jens joanne
enrique henrik
jacobi jakob
margaret marguerite
theresa theresia
mariae marian
bessie betty
bridget brigida
michaelis mihaly
cayetana gaetano
mariah mario
bill wilhelm
emeline emile
greta margit
nicholas nicolaza
ignacia ignacio
josefa josephina
joachin jochim
luciana luciano
anthony antoni
josef josephina
maggie margarida
janos jo
annae annie
domenica domenico
cathalina katie
estevan stephanus
jeanette nettie
alonzo alphonse
mary miriam
kirstine kristian
hans johannes
fran frans
melchior melchora
leonhard leonor
magdalena magdeleine
friederica friedrich
carolyn carrie
joane joh
friederich fritz
franco francois
matheo matts
bernardina bernardus
cath katharina
pauline paulino
teodoro theodor
cornelio cornelis
agustin augustus
billy guillaume
albert berthe
marten martini
margareta marjorie
carrie karoline
joana jonathan
margaretha margery
joao juan
christian kirstine
istvan steven
anthony anto
betty elisabethae
joan johan
luciana lucinda
antal anttonio
nicolas nicolasa
frederick friederich
philippina phillip
lars lorenz
frances francisco
karen karin
tomas tomasa
ferenc frances
ane ann
anto antonie
raimundo raymond
mar maren
bessie elizabetha
jan joannes
maggie margretha
maria marit
adelaida adelheid
jack john
catalina catherina
caroline carrie
ella ellen
catharinae kata
helena lena
caterina katharina
antal antonio
georgina gyorgy
phelipa philipp
josephi josse
giovanni jack
elin ella
eliza elizabeth
catalina katie
joane juanita
ray raymond
mariae mariah
vicenta vincenza
anders andre
elisa elise
ferentz franziska
margueritte peggy
alejo eli
agnes nannie
jans johanna
mamie mariam
frederick friederike
cath cathar
lee leon
betsey bettie
marie mario
gerardus jerry
laurent lorenzo
karen kari
emil millie
katherine kathryn
betsy elizabetha
christianus kerstin
dionicio dionisia
antonina antonius
frances francis
toribia toribio
joaquim joaquina
frederic friedrike
cristina kristine
elisabet elizabetha
angelica angelique
elisabetha elsie
francoise fransisca
jean jennie
jens joanna
josse joze
fran franco
sue susie
antonina antonio
aurelia aurelio
cecile celia
mar maria
rosario rosie
mary mollie
louis louise
harry henr
elena lena
eliza elizabetha
christianus kirstine
raimundo romana
anders andres
cornelius neil
greta margreta
francoise franz
marg margarethe
bacilio basilia
bartola bartolo
kathrine kathryn
michele mihaly
francisco fransisca
santa santo
joh jone
margrete marguerite
daisy margretha
enrique henrici
catharine kathryn
amalia emil
rosanna rosina
alois aloysius
larry laurence
esteban istvan
vincenzo visente
janos johann
phelipa philippus
grietje marg
agustina augustus
marcela marcelino
martin marton
bert berthe
johannes jonathan
petri pietro
giovanna giovanni
elisabet elisabetha
thomas tom
margit margrete
joao juanita
franciscus frank
bill willie
joannes joh
baptist baptista
frederic friedrich
margarett margueritte
daisy margaretha
betsy elisa
guillaume vilhelm
nicolasa nikolaus
hanss joann
fran francesco
leonardo leonor
jo joanne
geertruida gerrit
joannes johanna
susannah zsuzsanna
christen kirstine
ann annette
rosie rosina
antal antonie
joh juan
carlos karl
elisabetta eliza
wilhelm william
margaretha peggy
albert albertina
jules julie
josephi jozef
alexander alexandre
margarita margrete
paula polonia
joane juana
susie zsuzsanna
mathias matthaeus
margarita peggy
agustina auguste
emanuel manoel
joane johann
delrosario rosie
elaine hellen
daisy margarett
margarito margrete
albina alvina
francois fransisco
juli julia
christianus kirsten
rosalia ross
magdalene magdolna
phelipa phelipe
christen kerstin
else elsie
carolus karl
mathias matts
maren mario
catharina catharine
enrique henrich
maddalena magdalena
carin karin
teodora theodorus
lois lovisa
maxima maximo
allen lena
apollonia apolonio
bill billy
billy willm
christine kristina
elen helen
joanne juanita
friederich friederike
pablo paula
antoinette antonino
giovanna jone
hellen ilona
francesco francisco
betty elisabetha
francesco fransisco
joes joseph
henrich henrici
alejandro alexandra
maggie margarito
kari karoly
salbador salvatore
anastacia anastacio
joanes joanna
josefa josefina
ignacia ignatius
bettie elisabeth
elise elizabetha
elaine elen
leonarda leonardo
harry henry
casparus jasper
lena lynn
laurentius lorenz
lu lucie
cecil cecilia
joanna johan
janos joane
antoinette antto
henr henric
louis luiza
francis franklin
hanss jack
vilhelm willm
lorenso lorenza
ana anastasia
alexandra alexandre
cathalina cathrina
kata kate
albertine alberto
mateo mathew
jeanette jeanne
cathrine kate
ferentz francisco
delrosario rozalia
john juanita
juliane julianna
franciscus franziska
greta margaret
petra petronila
leonarda leonor
joana joann
salome solomon
grietje margrete
emilie emilio
jacinta jacinto
mariae mariam
janet jeanne
elin ellen
jo johanne
joanne juan
susanne zsuzsanna
nicolai nicolaus
josephina josse
albertus bertha
claude claudio
jans johannes
etienne stephan
de delia
etienne stephani
giovanni jens
larry lars
giovanna jan
marcus mark
harry henriette
catarina katarina
angelique angelo
federico fredrick
jans jone
margarethe margit
josephine josie
josefa jozef
jacob jacoba
georgia georgius
josefa joze
enrique henriette
joannis joh
hanss juan
elena helena
claus nicholas
jo jone
anton antoni
joe jozef
heinrich henrici
belle ysavel
elisa elisabethae
margarethe margarett
pal polly
joanna joh
mariam mary
antonie antonino
fransisco franz
ferentz franca
elin ilona
tereza therese
albert albertine
dorothy dorthe
antoni antonio
marguerite marjorie
catherine katharine
nicolaas nicolai
joannis juan
margery margretha
lewis lois
franca francis
olive olivia
john juan
augusto augustus
petra petri
jans joanna
hanss jens
ellen helen
do douglas
ana nancy
catharina kate
alejandra alejandro
nicolaas nicolasa
alejandra alexandra
rosetta ross
betty elsbeth
franca francoise
liu luise
pascual pasquale
mario polly
giovanna johannis
cath kathryn
agustina augustina
felipa phelipe
christine kristine
vincenza vincenzo
josephina joze
ana ane
catarina cathrine
kerstin kristian
augusta augustin
maria marian
paolo paulina
miriam polly
dora doris
jo juana
doroteo dorthea
willem willm
luiz lula
lorensa lorenz
franciscus franco
joan joh
carrie karolina
mathilda mathilde
hans joana
lajos luz
bessie elisa
ester hester
grietje marguerite
marg margarita
frank frans
josefina josephi
gregorio gregory
kerstin kirstine
christoph christopher
leon leona
leonard leonarda
josephina jozef
giovanna johannes
luisa luiza
margarett margit
joachin joaquin
genoveva jenny
dorotea dorthea
friderich friederica
angeline engel
lilian lilly
philip philippe
catalina catarina
bartholome bartola
belle isabelle
catharine katalin
simeon simona
elena helene
franco franklin
paula pauline
catalina caterina
lou louise
estella stella
catharina cathrina
feliciana feliz
margarett margreta
betty lizzie
susannah susanne
ane annam
mar polly
ben benjamin
nicolaza nikolaus
josie joze
louis lula
margareta margaretha
grietje margarita
liu lula
augustin augustine
ferencz fernanda
bessie elizabeth
nancy nannie
catherine kathryn
christiane kristian
giuseppa joze
kirstine stina
carlota charlotte
maja may
joann jone
per petri
elisa lisa
johan johanne
baptist bautista
marg margery
margaret margit
bartola bartolome
isabella isobel
cathar kate
catherina katharina
francesco franziska
felipa philipp
willem william
giovanni joanne
ferenc francesco
lena magdalena
christian christine
hans joh
gertrud getrudis
mariam marie
fred fredrik
michael mike
an annette
elisabeth lisa
cathalina catharine
albertina bert
cecil cecilio
elisabethae elisabetta
christiana christine
phelipe philippe
annae anne
margarett marguerite
cathrina kathleen
lucia luciana
jens johann
ilona lena
margarethae margreta
pablo pal
janos jonas
mads mats
francesca francisco
joannis johanna
margit peggy
josefina joze
margarida margit
isabella isabelle
janos johanna
klaas nicolaas
george georgy
cathrine kata
brigida brita
laurentius lorenso
lawrence lorenz
joanes juanita
julia julius
ed edouard
bill willem
josephe josephus
frederic friederich
lois luisa
jan joao
rosetta rosine
betty elisabetta
dorothy dorthea
juli julian
johannis jonathan
eva iva
felipe philip
joe josse
sallie sally
carlota lottie
sophia zsofia
alejandra alexander
margit margueritte
an annie
hendrik henricus
del dela
emilia emily
caterina catharinae
gary jerry
christiane kristine
eduardo edward
mateo matts
caroline karoline
elsie lizzie
dela delas
jan johan
francisco frans
catherina kata
per perry
christiana christina
joana joannis
ferentz francoise
dominga dominique
joan joanna
dale del
greta margaretha
margarida margery
max maxima
josephine jozef
catalina catharine
amelia emile
sofia sophie
joanna juana
alvina alvino
alexandre alexis
margery margret
joanna john
joann johannes
